City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Puerto Escondido,MX,15.85,-97.0667,74.23,88,1,6.91,clear sky
241,Berezovyy,RU,51.6667,135.7,-21.3,96,6,2.91,clear sky
242,Dogondoutchi,NE,13.6393,4.0287,86.65,16,27,6.8,scattered clouds
243,Mirabad,AF,30.4362,61.8383,57.15,50,0,9.35,clear sky
244,Troitskoye,RU,52.9821,84.6757,12.43,95,100,3.69,overcast clouds
245,Vikulovo,RU,56.8167,70.6107,-8.54,96,8,7.63,clear sky
246,Quatre Cocos,MU,-20.2078,57.7625,81.09,75,100,8.34,overcast clouds
247,Pinawa,CA,50.1489,-95.8811,-8.75,92,100,8.5,overcast clouds
248,Shubarkuduk,KZ,49.1447,56.4872,31.98,98,100,6.13,overcast clouds
249,Tual,ID,-5.6667,132.75,82.98,76,100,15.79,overcast clouds
250,Norman Wells,CA,65.282,-126.8329,-43.56,66,1,4.61,mist
251,Guerrero Negro,MX,27.9769,-114.0611,56.43,85,13,4.12,few clouds
252,Gizo,SB,-8.103,156.8419,82.33,78,95,8.7,moderate rain
253,Aksu,CN,41.1231,80.2644,26.96,47,100,2.04,overcast clouds
254,Sabya,SA,17.1495,42.6254,82.02,61,61,10.6,broken clouds
255,Cantagallo,CO,7.376,-73.9196,82.98,65,45,1.14,scattered clouds
256,Kimbe,PG,-5.5502,150.1429,76.41,94,99,1.81,light rain
257,Beringovskiy,RU,63.05,179.3167,1.8,97,32,8.41,scattered clouds
258,Jiuquan,CN,39.7432,98.5174,21.72,43,100,5.19,overcast clouds
259,Waddan,LY,29.1614,16.139,68.22,24,0,9.51,clear sky
260,Georgetown,MY,5.4112,100.3354,84.88,73,20,6.91,few clouds
261,Mount Darwin,ZW,-16.7725,31.5838,76.93,62,100,4.09,overcast clouds
262,Coahuayana,MX,18.7333,-103.6833,78.28,44,5,1.97,clear sky
263,Vanimo,PG,-2.6741,141.3028,77.95,89,88,9.93,overcast clouds
264,Vredendal,ZA,-31.6683,18.5012,77.54,48,66,21.07,broken clouds
265,San Lorenzo,PY,-25.3333,-57.5333,88.74,51,20,10.36,few clouds
266,San Ramon,US,37.7799,-121.978,52.38,94,90,0.0,overcast clouds
267,Road Town,VG,18.4167,-64.6167,80.69,69,40,11.5,scattered clouds
268,Namuac,PH,18.6109,121.1657,72.5,86,87,10.22,overcast clouds
