City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
119,Port Blair,IN,79.63,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
120,Flinders,AU,73.38,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
122,Dibulla,CO,82.42,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
123,Umm Lajj,SA,77.04,clear sky,25.0213,37.2685,Moon light Furnished Units
128,Port Elizabeth,ZA,71.89,light rain,-33.918,25.5701,39 On Nile Guest House
132,Aloleng,PH,77.04,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
133,Eirunepe,BR,78.4,overcast clouds,-6.6603,-69.8736,Atrás de você
134,Chipinge,ZW,75.9,overcast clouds,-20.1883,32.6236,Chipinge Breeze Lodge
135,Kasama,ZM,68.45,moderate rain,-10.2129,31.1808,Kalebalika Cottages
136,Ballina,AU,75.16,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
140,Vilhena,BR,80.82,broken clouds,-12.7406,-60.1458,Hotel Mirage
146,Isla Mujeres,MX,68.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
149,Saint-Philippe,RE,83.21,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
151,Santa Cruz,BO,77.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
154,Ancud,CL,65.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
155,Machinga,MW,75.24,light rain,-15.1685,35.3,
157,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
159,Progreso,MX,69.12,clear sky,21.2833,-89.6667,Playa Linda Hotel
165,Kiama,AU,73.58,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
175,Bubaque,GW,78.89,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
177,Shenzhen,CN,70.07,clear sky,22.5455,114.0683,Shenzhen Shanghai Hotel
179,Bongandanga,CD,84.83,overcast clouds,1.5,21.05,
181,Calvinia,ZA,82.15,clear sky,-31.4707,19.776,Die Lemoenhuis
182,Mecca,SA,77.47,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
185,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
187,Mareeba,AU,79.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
188,Santa Fe,AR,83.01,light rain,-31.6333,-60.7,Conquistador Hotel
190,Plettenberg Bay,ZA,68.81,light rain,-34.0527,23.3716,Thanda Vista B&B
193,Yeppoon,AU,80.38,clear sky,-23.1333,150.7333,Villa Mar Colina
196,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
197,Boyolangu,ID,75.67,overcast clouds,-8.1181,111.8935,Yos ega cv
200,Narok,KE,74.44,overcast clouds,-1.0783,35.8601,OLORROPIL TOWERS
203,Atar,MR,80.33,overcast clouds,20.5169,-13.0499,Oumou Elghoura
204,Dingle,PH,73.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
206,Bajos De Haina,DO,79.21,few clouds,18.4154,-70.0332,Familia García Santana
207,Kismayo,SO,81.03,overcast clouds,-0.3582,42.5454,Agan-Hotel
209,Pisco,PE,74.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
210,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
214,San Luis,AR,83.68,broken clouds,-33.295,-66.3356,Huarpes Hotel
218,Nouadhibou,MR,78.78,overcast clouds,20.931,-17.0347,El Medina
